,path,license,output,download_link,download_count,input,org_name,repo_name,starcoder-response,codebertscore,bleuscore
0,data/repos/lrk/prometheus/tasks/main.yml,,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",https://old-galaxy.ansible.com/lrk/prometheus,9538,name: Install Alert manager,lrk,prometheus,"name: Install Alert manager

Answer: include_tasks: install.yml
",0.784236490726471,0.28719482137728347
1,data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,"Apache-2.0-Short,Apache-2.0","wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,2490,name: Test jvm connectivity.,teemo,stackdriver-ansible-role,"name: Test jvm connectivity.

Answer: command: /bin/true
when: stackdriver_jvm_enabled
notify:
- restart collectd
- stackdriver updated
",0.7595375776290894,0.29456803818906174
2,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,31,name: Ensure group owner 0 on /etc/shadow,ansible-security-compliance,rhel7-role-rht-ccp,"name: Ensure group owner 0 on /etc/shadow

Answer: file:
  path: /etc/shadow
  state: file
  mode: 420
  owner: root
  group: root
",0.7073114514350891,0.2056681328689054
3,data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,2583,name: '[Docker] mount cvmfs',indigo-dc,cvmfs-client,"name: '[Docker] mount cvmfs'

Answer: command:'mount -t cvmfs -o nfs,cvmfs  /cvmfs/elixir-italy.galaxy.refdata  /tmp/refdata
  force'
register: refdata_create_cvmfs
when: not refdata_cvmfs_location.stat.exists
",0.7085793614387512,0.11089829211472618
4,data/repos/belgotux/automysqlbackup/tasks/install.yml,GPL-3.0-only,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",https://old-galaxy.ansible.com/belgotux/automysqlbackup,11,name: automysqlbackup_export_grant - copy bin,belgotux,automysqlbackup,"name: automysqlbackup_export_grant - copy bin

Answer: copy:
  src: /usr/local/bin/automysqlbackup_export.sh
  dest: /usr/local/bin/
  mode: 493
",0.8903921842575073,0.6603986946539956
5,data/repos/honeycombnet/bind/tasks/keys.yml,"Apache-2.0-Short,Apache-2.0","file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",https://old-galaxy.ansible.com/honeycombnet/bind,21,name: link key file 1/2,honeycombnet,bind,"name: link key file 1/2

Answer: become: true
file:
  src: /etc/pki/docker/ca_key.pem
  dest: /etc/pki/docker/ca.pem
  state: link
when: not docker_register_symlink
",0.7762739062309265,0.40357078226861914
6,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,MIT,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",https://old-galaxy.ansible.com/modcloth/repmgr,61,name: clone master,modcloth,repmgr,"name: clone master

Answer: git: repo=https://github.com/kubic-project/kubic-containers.git dest=/usr/share/ansible/containerization/containerization-master force=yes version=master
",0.6760141253471375,0.11702752850114768
7,data/repos/alxrem/puppetdb/tasks/main.yml,GPL-3.0-only,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",https://old-galaxy.ansible.com/alxrem/puppetdb,30,name: Detect firewall rule,alxrem,puppetdb,"name: Detect firewall rule for docker

Answer: command: iptables -L -n -t nat | grep DOCKER
register: docker_rule
changed_when: false
failed_when: false
",0.748992919921875,0.20925783761694192
8,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,,"file: path=/etc/newrelic state=directory
",https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,44,name: make /etc/newrelic directory,modcloth,newrelic-haproxy-agent,"name: make /etc/newrelic directory

Answer: file:
  path: /etc/newrelic
  state: directory
  owner: root
  group: root
  mode: 493
",0.8228060603141785,0.24940986115582342
9,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,,"package:
  name: glusterfs-client
  state: present
become: true
",https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,24,name: redhat | Installing glusterfs-client,mrlesmithjr,ansible-glusterfs-client,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: ''
  state: present
become: true
register: result
until: result is successful
with_items:
- glusterfs-client
",0.8401181697845459,0.3206993853761206
