,download_link,download_count,input,output,path,license,org_name,repo_name,starcoder-response,codebertscore,bleuscore
0,https://old-galaxy.ansible.com/lrk/prometheus,9538,name: Install Alert manager,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",data/repos/lrk/prometheus/tasks/main.yml,,lrk,prometheus,"name: Install Alert manager

Answer: ansible.builtin.apt:
  name: alertmanager={{ alertmanager_version }}
  state: present
",0.7566731572151184,0.2554195881257499
1,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,2490,name: Test jvm connectivity.,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,"Apache-2.0-Short,Apache-2.0",teemo,stackdriver-ansible-role,"name: Test jvm connectivity.

Answer: command: 'ping -c 1 '
register: ping_result
changed_when: false
failed_when: false
",0.7119832634925842,0.1219307813481702
2,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,31,name: Ensure group owner 0 on /etc/shadow,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,,ansible-security-compliance,rhel7-role-rht-ccp,"name: Ensure group owner 0 on /etc/shadow

Answer: file: path=/etc/shadow group=root mode=0644
",0.7014604806900024,0.09281097853489877
3,https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,2583,name: '[Docker] mount cvmfs',"include: mount.yml
when: ansible_virtualization_type == ""docker""
",data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,,indigo-dc,cvmfs-client,"name: '[Docker] mount cvmfs'

Answer: command: docker run -it -v /cvmfs/elixir-italy.galaxy.refdata:{{ elixir_refdata_tag
  }} -v /data/elixir-italy.galaxy.refdata:/data cvmfs-server-galaxy
when: is_installed.rc == 1
",0.7107136845588684,0.10963016152388076
4,https://old-galaxy.ansible.com/belgotux/automysqlbackup,11,name: automysqlbackup_export_grant - copy bin,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",data/repos/belgotux/automysqlbackup/tasks/install.yml,GPL-3.0-only,belgotux,automysqlbackup,"name: automysqlbackup_export_grant - copy bin to cron folder

Answer: template:
  src: automysqlbackup_export_grant.j2
  dest: /etc/cron.hourly/automysqlbackup_export_grant
  mode: 493
tags:
- automysqlbackup
",0.8523738384246826,0.5010797065048878
5,https://old-galaxy.ansible.com/honeycombnet/bind,21,name: link key file 1/2,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",data/repos/honeycombnet/bind/tasks/keys.yml,"Apache-2.0-Short,Apache-2.0",honeycombnet,bind,"name: link key file 1/2

Answer: become: true
file:
  src: '{{ dds_temp_path }}/ansible_dds/key.pem'
  dest: /etc/docker-dds/key.pem
  owner: root
  group: docker
  state: link
",0.7679922580718994,0.45952567871891525
6,https://old-galaxy.ansible.com/modcloth/repmgr,61,name: clone master,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,MIT,modcloth,repmgr,"name: clone master

Answer: git: repo= dest=/home//gitrepo version=
become: false
register: clone_git
when: git_repo_state == ""present"" and git_clone_on_present
",0.6899496912956238,0.13122222880414824
7,https://old-galaxy.ansible.com/alxrem/puppetdb,30,name: Detect firewall rule,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",data/repos/alxrem/puppetdb/tasks/main.yml,GPL-3.0-only,alxrem,puppetdb,"name: Detect firewall ruleset

Answer: ansible.builtin.command:
  cmd: iptables -L
changed_when: false
register: iptables_register_rules
check_mode: false
when:
- ansible_virtualization_type!= ""docker""
- iptables_register_rules.rc == 2
",0.7182652354240417,0.2658435587463961
8,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,44,name: make /etc/newrelic directory,"file: path=/etc/newrelic state=directory
",data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,,modcloth,newrelic-haproxy-agent,"name: make /etc/newrelic directory

Answer: become: true
file:
  path: /etc/newrelic
  state: directory
  mode: 493
",0.8436298370361328,0.2820865773849103
9,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,24,name: redhat | Installing glusterfs-client,"package:
  name: glusterfs-client
  state: present
become: true
",data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,,mrlesmithjr,ansible-glusterfs-client,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: glusterfs-client
  state: present
become: true
register: result
until: result is successful
when: 'config_network_interfaces and enable_passthrough_nfs is defined and enable_passthrough_nfs
  and ansible_distribution!= ""Fedora""

  '
",0.799504280090332,0.19517558898991716
10,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,15,name: Upgrade all homebrew packages (if configured).,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,,mbautin,ansible-role-homebrew,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  name: ''
  state: latest
with_items: ''
when: brew_upgrade_all
",0.7987238764762878,0.38665399065747785
11,https://old-galaxy.ansible.com/crivetimihai/workstation,288,name: unpack pandoc,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,,crivetimihai,workstation,"name: unpack pandoc source

Answer: unarchive:
  src: /tmp/pandoc-2.2.3.tar.gz
  dest: /tmp
  copy: false
",0.8221108913421631,0.47756205212460145
12,https://old-galaxy.ansible.com/andperez/mongodb,85,name: MongoDB smallFiles,"copy: src=mongodb.conf dest=/etc/
",data/repos/andperez/mongodb/tasks/setup-RedHat.yml,MIT,andperez,mongodb,"name: MongoDB smallFiles support

Answer: command:./mongod --smallfiles
args:
  chdir: /tmp/mongodb
when: mongodb_install and (ansible_distribution == ""Ubuntu"" and ansible_distribution_version
  is version('14.04', '<'))
",0.6948937773704529,0.042312076883356725
13,https://old-galaxy.ansible.com/gugu/sensu,35,name: enable sensu-client to survive reboot,"service: name=sensu-client enabled=yes
",data/repos/gugu/sensu/tasks/client.yml,,gugu,sensu,"name: enable sensu-client to survive reboot

Answer: service: name=sensu-client state=started enabled=yes
",0.8711190223693848,0.3512092723443388
